"ID","Status","Subject","Requester","Requested","Assignee"
"27990122","Closed","Incident - PROD - API - 3PL Ingestion - CR JOB Did not push file to S3 bucket","BigPanda","2025-05-28 06:01","Rahul Bansal"
"27988699","Closed","Incident - PROD - API - Whistl Snapshot - Stock quantity mismatch identified during the EOD snapshot","BigPanda","2025-05-28 00:00","Nadhiya K"
"27984204","Closed","Incident - PROD - API - Level - Level_V5_Access_Log - P99_Response_Time","BigPanda","2025-05-27 11:19","Rahul Bansal"
"27989922","Closed","Incident - PROD - API - Level - Level_V5 - Couchbase Slowness Detected","BigPanda","2025-05-28 05:31","Rahul Bansal"
"27989078","Closed","Incident - PROD - Policy: 'kafka_lag_transaction_history'. Condition: 'stock_outbound_stock_change_record_v2_lag'","BigPanda","2025-05-28 02:14","Piyush Agrawal"
"27981226","Closed","Incident - PROD - Ingestion - Avail - Transaction_Drop - Receiving_Adjustment","BigPanda","2025-05-27 07:33","Rahul Bansal"
"27981017","Closed","Incident - PROD - Ingestion - Avail - Transaction_Drop - Ingestion_Receiving_Adjustment","BigPanda","2025-05-27 07:16","Rahul Bansal"
"27971613","Closed","Incident - PROD - API - Avail - Avail_V6_GHS_Access_Log - P99_Response_Time","BigPanda","2025-05-26 01:28","Rahul Bansal"
"27980598","Closed","Incident - PROD - API - Level - Level_V5 - Couchbase Slowness Detected","BigPanda","2025-05-27 06:31","Rahul Bansal"
"27980346","Closed","Incident - PROD - Transaction Drop Alert MODERNSTOCKTAKE_COUNTS","BigPanda","2025-05-27 06:00","Rahul Bansal"
"27979192","Closed","Incident - PROD - API - Whistl Snapshot - Stock quantity mismatch identified during the EOD snapshot","BigPanda","2025-05-27 00:00","Rahul Bansal"
"27979378","Closed","Incident - PROD - API - Avail - Avail_V6_GHS_Access_Log - P99_Response_Time","BigPanda","2025-05-27 01:28","Rahul Bansal"
"27975204","Closed","Incident - PROD - API - Avail - Avail_V6_GHS_Access_Log - P99_Response_Time","BigPanda","2025-05-26 10:28","Rahul Bansal"
"27979383","Closed","Incident - PROD - API - Level - Level_V5_Access_Log - P99_Response_Time","BigPanda","2025-05-27 01:30","Rahul Bansal"
"27974258","Closed","Incident - PROD - API - Level - Level_V5_Access_Log - P99_Response_Time","BigPanda","2025-05-26 08:59","Rahul Bansal"
"27978207","Closed","Incident - PROD - API - Avail - Avail_V6 - Couchbase Slowness Detected","BigPanda","2025-05-26 17:02","Rahul Bansal"
"27979685","Closed","Incident - PROD - API - Level - Level_V5 - Couchbase Slowness Detected","BigPanda","2025-05-27 03:31","Rahul Bansal"
"27972216","Closed","Incident - PROD - API - Level - Level_V5 - Couchbase Slowness Detected","BigPanda","2025-05-26 04:31","Rahul Bansal"
"27978290","Closed","Incident - PROD - Ingestion - Level - Transaction_Drop - Supply_Oakwood_UOD_Loaded","BigPanda","2025-05-26 17:30","Rahul Bansal"
"27979800","Closed","P99 breaches in ISC dashboard for level/availability API","Sajith Sanal","2025-05-27 04:08","Rahul Bansal"
"27953949","Closed","Level API P99 breaches in Splunk","Sajith Sanal","2025-05-23 05:26","Rahul Bansal"
"27865102","Closed","API response time spike noted on May 12th","PraveenKumar KG","2025-05-13 05:30","Rahul Bansal"
"27835455","Closed","p99 breaches in isc dashboard for level/availability","Sajith Sanal","2025-05-09 05:07","Rahul Bansal"
"27975206","Closed","Re: Frozen stock transfer 6660 to 6399","Ian Redpath","2025-05-26 10:28","Shashikant Punia"
"27974621","Closed","Incident - PROD - Policy: 'kafka_lag_transaction_history'. Condition: 'stock_internal_accuracy_ingestion_transaction_record_retry_v1_lag'","BigPanda","2025-05-26 09:35","Rahul Bansal"
